ARREST_PRECINCT,new_arrest_date,count
83,2020 02,230
1,2018 03,208
77,2015 03,390
72,2014 11,315
45,2014 07,255
72,2010 05,299
94,2010 02,118
28,2009 01,538
60,2020 08,154
47,2019 03,415
7,2017 09,214
5,2016 11,392
18,2016 10,395
72,2015 07,286
106,2012 09,325
66,2008 02,132
30,2018 01,139
66,2020 04,60
94,2016 12,114
66,2008 06,134
111,2013 06,118
47,2020 12,347
42,2020 10,227
50,2020 07,61
122,2020 09,95
81,2020 03,92
18,2020 04,62
88,2021 12,86
110,2018 11,262
41,2012 09,607
24,2018 08,140
41,2006 08,495
14,2006 01,1066
79,2017 07,347
103,2017 05,380
72,2017 04,323
40,2016 11,706
32,2016 10,420
13,2016 08,351
7,2016 01,262
90,2015 10,347
1,2015 06,343
62,2015 06,241
84,2014 09,366
28,2014 05,482
13,2014 03,561
34,2013 11,477
108,2013 10,220
110,2013 08,546
1,2013 05,389
43,2012 04,908
77,2011 11,565
84,2011 07,435
18,2011 06,587
28,2011 03,561
52,2010 09,856
10,2010 06,268
101,2010 01,426
34,2009 10,645
49,2009 09,285
60,2009 08,651
14,2008 12,1249
123,2008 11,115
32,2008 08,558
104,2007 08,338
9,2007 04,337
68,2007 01,203
19,2017 07,235
23,2011 06,538
103,2011 02,792
79,2011 01,672
109,2006 11,416
90,2020 12,125
105,2020 08,125
40,2021 07,361
66,2021 04,71
84,2006 07,308
7,2017 03,242
123,2013 11,121
62,2007 05,236
100,2006 09,146
109,2020 08,170
111,2010 05,174
108,2012 02,218
76,2014 11,122
20,2020 10,54
44,2020 11,337
41,2020 07,126
25,2020 05,365
1,2018 08,228
113,2018 07,484
44,2018 06,597
26,2018 12,114
66,2018 01,149
18,2006 05,384
83,2016 12,240
103,2016 11,345
41,2016 10,461
48,2016 02,512
110,2016 01,362
9,2015 11,280
79,2015 07,412
114,2014 12,318
90,2014 12,173
69,2014 06,316
10,2014 04,221
83,2014 02,451
122,2013 01,310
123,2013 01,123
122,2011 09,259
20,2011 09,145
113,2010 09,490
102,2010 07,377
66,2010 02,119
114,2009 08,476
32,2009 06,560
14,2009 03,1336
1,2009 02,389
43,2008 08,1015
24,2008 06,287
83,2008 05,633
110,2008 01,621
13,2007 12,273
69,2007 12,190
66,2007 11,129
6,2007 09,374
48,2007 06,690
76,2006 09,204
68,2019 11,143
44,2020 01,484
107,2014 02,253
49,2010 02,284
81,2009 12,337
47,2007 01,670
67,2007 01,625
18,2020 09,88
60,2020 10,194
105,2020 07,130
7,2021 09,112
25,2014 11,635
63,2014 11,201
66,2008 09,140
123,2008 06,141
62,2008 05,259
9,2007 11,319
61,2021 05,118
104,2019 11,159
7,2019 12,127
94,2007 07,111
22,2013 09,53
43,2020 10,303
69,2020 09,78
25,2020 07,92
75,2019 01,485
77,2021 11,160
90,2021 08,157
42,2021 03,320
66,2021 02,55
110,2018 09,270
19,2018 06,201
84,2018 02,262
67,2018 02,459
24,2018 05,131
113,2017 02,496
43,2016 10,507
71,2016 07,317
104,2016 07,217
106,2016 02,350
24,2016 02,241
103,2015 10,771
102,2015 06,311
63,2015 05,178
115,2015 03,534
33,2015 04,325
5,2014 11,454
101,2014 09,366
44,2014 05,886
40,2013 10,999
81,2013 07,468
17,2012 10,177
44,2012 09,1039
66,2012 01,139
105,2012 01,477
44,2011 10,1163
110,2010 12,459
79,2010 10,718
72,2010 06,289
61,2010 04,273
115,2009 10,749
28,2009 09,555
6,2009 06,361
75,2008 09,1109
76,2008 02,181
52,2007 10,811
42,2007 09,491
33,2007 04,540
114,2021 02,257
79,2017 05,317
101,2017 02,211
112,2016 04,182
7,2013 04,363
79,2010 02,604
70,2009 10,510
79,2009 02,664
113,2009 01,509
44,2008 09,1036
122,2006 12,309
76,2016 04,184
17,2015 04,142
49,2014 04,371
122,2013 11,179
114,2013 11,437
76,2013 02,179
68,2011 12,158
106,2006 05,273
47,2013 05,525
45,2009 05,304
68,2020 08,98
32,2020 01,223
60,2017 06,426
111,2012 07,147
100,2011 11,135
22,2006 01,44
84,2009 06,412
112,2021 02,145
20,2018 01,155
107,2020 05,87
9,2020 12,82
9,2019 03,177
52,2021 08,355
61,2021 07,136
9,2018 09,164
60,2006 03,403
110,2018 01,326
94,2017 11,125
73,2017 10,449
113,2017 09,445
112,2017 04,117
75,2017 03,758
9,2017 03,230
101,2017 03,235
50,2016 12,156
40,2016 08,797
13,2016 06,371
62,2016 06,184
24,2016 03,191
106,2015 11,274
100,2015 11,132
110,2015 06,486
28,2014 10,496
6,2014 09,365
62,2014 08,246
112,2014 02,188
67,2013 11,564
103,2013 09,805
60,2013 09,372
114,2013 07,515
88,2012 11,170
43,2012 08,939
81,2012 07,544
5,2012 06,527
104,2012 02,466
14,2012 01,1228
109,2011 11,432
103,2011 07,733
108,2011 01,244
20,2009 12,191
6,2009 11,380
32,2008 12,473
43,2007 11,932
33,2007 08,553
115,2006 12,582
73,2006 11,733
45,2006 12,222
44,2017 01,723
44,2017 02,595
110,2011 12,444
114,2010 01,562
108,2020 12,96
46,2020 12,270
9,2019 06,163
40,2020 02,493
1,2021 12,162
94,2017 06,132
63,2010 07,217
48,2008 08,601
109,2008 04,339
19,2008 05,314
49,2020 12,192
50,2012 06,174
94,2009 11,145
17,2008 07,150
122,2017 06,177
22,2015 09,36
78,2008 07,143
49,2006 01,216
6,2016 09,192
22,2017 04,15
108,2021 09,145
114,2020 09,260
122,2020 07,71
46,2019 10,373
5,2019 12,309
69,2020 02,110
84,2021 11,148
23,2021 11,149
83,2021 05,135
70,2021 01,172
28,2018 06,229
83,2006 07,525
42,2006 05,508
23,2016 09,414
109,2016 09,359
9,2015 12,272
113,2015 06,593
42,2015 04,442
33,2015 03,432
32,2015 01,296
60,2014 10,443
34,2014 08,435
106,2014 07,342
78,2013 09,171
114,2013 08,519
112,2012 08,212
44,2012 04,1166
67,2012 04,646
120,2012 01,700
45,2011 09,265
33,2011 07,576
94,2010 07,193
28,2010 05,602
5,2009 06,458
108,2009 06,203
26,2009 02,287
1,2008 11,370
52,2008 06,755
115,2007 08,692
40,2007 05,978
61,2007 03,330
24,2006 09,267
121,2017 05,324
24,2017 01,166
45,2019 08,192
26,2014 03,287
50,2012 11,132
50,2012 10,160
84,2012 07,335
49,2010 04,341
105,2009 01,438
76,2007 11,150
62,2007 09,240
107,2008 02,261
23,2019 11,203
1,2017 11,235
34,2019 03,213
28,2019 10,164
76,2018 10,188
22,2017 12,20
111,2017 06,106
44,2020 12,362
5,2020 10,227
75,2019 04,477
69,2019 08,148
67,2020 02,254
62,2021 12,151
48,2021 09,263
101,2021 10,110
18,2021 07,204
5,2021 05,176
79,2018 11,239
61,2006 03,307
77,2018 03,341
76,2017 10,206
106,2017 10,211
123,2017 05,153
1,2017 02,243
63,2017 02,164
42,2016 11,467
33,2016 10,363
40,2016 05,982
68,2016 04,209
42,2015 12,470
34,2015 11,354
26,2015 10,188
1,2015 08,321
109,2015 04,376
19,2014 05,298
45,2014 03,236
110,2014 02,374
43,2012 11,602
70,2012 11,261
23,2012 12,362
46,2012 10,697
44,2012 07,1074
77,2011 09,598
75,2011 08,1447
60,2011 06,480
66,2011 05,141
70,2011 06,468
106,2011 04,364
34,2011 03,465
105,2010 12,304
18,2010 07,477
32,2010 07,624
10,2010 04,288
52,2009 12,803
69,2009 11,216
